,date,weightclass,fighter,rank
47298,2020-06-08,Heavyweight,Alistair Overeem,8
47299,2020-06-08,Heavyweight,Walt Harris,9
47300,2020-06-08,Heavyweight,Augusto Sakai,10
47301,2020-06-08,Heavyweight,Aleksei Oleinik,11
47302,2020-06-08,Heavyweight,Shamil Abdurakhimov,12
47303,2020-06-08,Heavyweight,Sergei Pavlovich,13
47304,2020-06-08,Heavyweight,Fabricio Werdum,14
47305,2020-06-08,Heavyweight,Blagoy Ivanov,15
47497,2020-06-15,Heavyweight,Stipe Miocic,0
47498,2020-06-15,Heavyweight,Daniel Cormier,1
47499,2020-06-15,Heavyweight,Francis Ngannou,2
47500,2020-06-15,Heavyweight,Curtis Blaydes,3
47501,2020-06-15,Heavyweight,Derrick Lewis,4
47502,2020-06-15,Heavyweight,Junior Dos Santos,5
47503,2020-06-15,Heavyweight,Jairzinho Rozenstruik,6
47504,2020-06-15,Heavyweight,Alexander Volkov,7
47505,2020-06-15,Heavyweight,Alistair Overeem,8
47506,2020-06-15,Heavyweight,Walt Harris,9
47507,2020-06-15,Heavyweight,Augusto Sakai,10
47508,2020-06-15,Heavyweight,Aleksei Oleinik,11
47509,2020-06-15,Heavyweight,Shamil Abdurakhimov,12
47510,2020-06-15,Heavyweight,Sergei Pavlovich,13
47511,2020-06-15,Heavyweight,Fabricio Werdum,14
47512,2020-06-15,Heavyweight,Blagoy Ivanov,15
47704,2020-06-22,Heavyweight,Stipe Miocic,0
47705,2020-06-22,Heavyweight,Daniel Cormier,1
47706,2020-06-22,Heavyweight,Francis Ngannou,2
47707,2020-06-22,Heavyweight,Curtis Blaydes,3
47708,2020-06-22,Heavyweight,Derrick Lewis,4
47709,2020-06-22,Heavyweight,Junior Dos Santos,5
47710,2020-06-22,Heavyweight,Jairzinho Rozenstruik,6
47711,2020-06-22,Heavyweight,Alistair Overeem,7
47712,2020-06-22,Heavyweight,Alexander Volkov,8
47713,2020-06-22,Heavyweight,Walt Harris,9
47714,2020-06-22,Heavyweight,Augusto Sakai,10
47715,2020-06-22,Heavyweight,Aleksei Oleinik,11
47716,2020-06-22,Heavyweight,Shamil Abdurakhimov,12
47717,2020-06-22,Heavyweight,Sergei Pavlovich,13
47718,2020-06-22,Heavyweight,Fabricio Werdum,14
47719,2020-06-22,Heavyweight,Ciryl Gane,15
47911,2020-06-29,Heavyweight,Stipe Miocic,0
47912,2020-06-29,Heavyweight,Daniel Cormier,1
47913,2020-06-29,Heavyweight,Francis Ngannou,2
47914,2020-06-29,Heavyweight,Curtis Blaydes,3
47915,2020-06-29,Heavyweight,Derrick Lewis,4
47916,2020-06-29,Heavyweight,Junior Dos Santos,5
47917,2020-06-29,Heavyweight,Jairzinho Rozenstruik,6
47918,2020-06-29,Heavyweight,Alistair Overeem,7
47919,2020-06-29,Heavyweight,Alexander Volkov,8
47920,2020-06-29,Heavyweight,Augusto Sakai,9
47921,2020-06-29,Heavyweight,Walt Harris,10
47922,2020-06-29,Heavyweight,Aleksei Oleinik,11
47923,2020-06-29,Heavyweight,Shamil Abdurakhimov,12
47924,2020-06-29,Heavyweight,Sergei Pavlovich,13
47925,2020-06-29,Heavyweight,Fabricio Werdum,14
47926,2020-06-29,Heavyweight,Ciryl Gane,15
48118,2020-07-14,Heavyweight,Stipe Miocic,0
48119,2020-07-14,Heavyweight,Daniel Cormier,1
48120,2020-07-14,Heavyweight,Francis Ngannou,2
48121,2020-07-14,Heavyweight,Curtis Blaydes,3
48122,2020-07-14,Heavyweight,Derrick Lewis,4
48123,2020-07-14,Heavyweight,Junior Dos Santos,5
48124,2020-07-14,Heavyweight,Jairzinho Rozenstruik,6
48125,2020-07-14,Heavyweight,Alistair Overeem,7
48126,2020-07-14,Heavyweight,Alexander Volkov,8
48127,2020-07-14,Heavyweight,Augusto Sakai,9
48128,2020-07-14,Heavyweight,Walt Harris,10
48129,2020-07-14,Heavyweight,Aleksei Oleinik,11
48130,2020-07-14,Heavyweight,Shamil Abdurakhimov,12
48131,2020-07-14,Heavyweight,Sergei Pavlovich,13
48132,2020-07-14,Heavyweight,Fabricio Werdum,14
48133,2020-07-14,Heavyweight,Ciryl Gane,15
48325,2020-07-27,Heavyweight,Stipe Miocic,0
48326,2020-07-27,Heavyweight,Daniel Cormier,1
48327,2020-07-27,Heavyweight,Francis Ngannou,2
48328,2020-07-27,Heavyweight,Curtis Blaydes,3
48329,2020-07-27,Heavyweight,Derrick Lewis,4
48330,2020-07-27,Heavyweight,Junior Dos Santos,5
48331,2020-07-27,Heavyweight,Jairzinho Rozenstruik,6
48332,2020-07-27,Heavyweight,Alistair Overeem,7
48333,2020-07-27,Heavyweight,Alexander Volkov,8
48334,2020-07-27,Heavyweight,Augusto Sakai,9
48335,2020-07-27,Heavyweight,Walt Harris,10
48336,2020-07-27,Heavyweight,Aleksei Oleinik,10
48337,2020-07-27,Heavyweight,Shamil Abdurakhimov,12
48338,2020-07-27,Heavyweight,Fabricio Werdum,13
48339,2020-07-27,Heavyweight,Sergei Pavlovich,14
48340,2020-07-27,Heavyweight,Ciryl Gane,15
48532,2020-08-03,Heavyweight,Stipe Miocic,0
48533,2020-08-03,Heavyweight,Daniel Cormier,1
48534,2020-08-03,Heavyweight,Francis Ngannou,2
48535,2020-08-03,Heavyweight,Curtis Blaydes,3
48536,2020-08-03,Heavyweight,Derrick Lewis,4
48537,2020-08-03,Heavyweight,Junior Dos Santos,5
48538,2020-08-03,Heavyweight,Jairzinho Rozenstruik,6
48539,2020-08-03,Heavyweight,Alistair Overeem,7
48540,2020-08-03,Heavyweight,Alexander Volkov,8
48541,2020-08-03,Heavyweight,Augusto Sakai,9
48542,2020-08-03,Heavyweight,Aleksei Oleinik,10
48543,2020-08-03,Heavyweight,Walt Harris,11
48544,2020-08-03,Heavyweight,Shamil Abdurakhimov,12
48545,2020-08-03,Heavyweight,Fabricio Werdum,13
48546,2020-08-03,Heavyweight,Sergei Pavlovich,14
48547,2020-08-03,Heavyweight,Ciryl Gane,15
48739,2020-08-10,Heavyweight,Stipe Miocic,0
48740,2020-08-10,Heavyweight,Daniel Cormier,1
48741,2020-08-10,Heavyweight,Francis Ngannou,2
48742,2020-08-10,Heavyweight,Curtis Blaydes,3
48743,2020-08-10,Heavyweight,Derrick Lewis,4
48744,2020-08-10,Heavyweight,Junior Dos Santos,5
48745,2020-08-10,Heavyweight,Jairzinho Rozenstruik,6
48746,2020-08-10,Heavyweight,Alistair Overeem,7
48747,2020-08-10,Heavyweight,Alexander Volkov,8
48748,2020-08-10,Heavyweight,Augusto Sakai,9
48749,2020-08-10,Heavyweight,Aleksei Oleinik,10
48750,2020-08-10,Heavyweight,Walt Harris,11
48751,2020-08-10,Heavyweight,Shamil Abdurakhimov,12
48752,2020-08-10,Heavyweight,Fabricio Werdum,13
48753,2020-08-10,Heavyweight,Sergei Pavlovich,14
48754,2020-08-10,Heavyweight,Ciryl Gane,15
48946,2020-08-17,Heavyweight,Stipe Miocic,0
48947,2020-08-17,Heavyweight,Francis Ngannou,1
48948,2020-08-17,Heavyweight,Curtis Blaydes,2
48949,2020-08-17,Heavyweight,Daniel Cormier,3
48950,2020-08-17,Heavyweight,Jairzinho Rozenstruik,4
48951,2020-08-17,Heavyweight,Derrick Lewis,4
48952,2020-08-17,Heavyweight,Alistair Overeem,6
48953,2020-08-17,Heavyweight,Junior Dos Santos,7
48954,2020-08-17,Heavyweight,Alexander Volkov,8
48955,2020-08-17,Heavyweight,Augusto Sakai,9
48956,2020-08-17,Heavyweight,Walt Harris,10
48957,2020-08-17,Heavyweight,Shamil Abdurakhimov,11
48958,2020-08-17,Heavyweight,Aleksei Oleinik,12
48959,2020-08-17,Heavyweight,Sergei Pavlovich,13
48960,2020-08-17,Heavyweight,Ciryl Gane,14
48961,2020-08-17,Heavyweight,Blagoy Ivanov,15
49153,2020-08-24,Heavyweight,Stipe Miocic,0
49154,2020-08-24,Heavyweight,Francis Ngannou,1
49155,2020-08-24,Heavyweight,Curtis Blaydes,2
49156,2020-08-24,Heavyweight,Daniel Cormier,3
49157,2020-08-24,Heavyweight,Jairzinho Rozenstruik,4
49158,2020-08-24,Heavyweight,Derrick Lewis,5
49159,2020-08-24,Heavyweight,Alistair Overeem,6
49160,2020-08-24,Heavyweight,Junior Dos Santos,7
49161,2020-08-24,Heavyweight,Alexander Volkov,8
49162,2020-08-24,Heavyweight,Augusto Sakai,9
49163,2020-08-24,Heavyweight,Walt Harris,10
49164,2020-08-24,Heavyweight,Shamil Abdurakhimov,11
49165,2020-08-24,Heavyweight,Aleksei Oleinik,12
49166,2020-08-24,Heavyweight,Sergei Pavlovich,13
49167,2020-08-24,Heavyweight,Ciryl Gane,14
49168,2020-08-24,Heavyweight,Blagoy Ivanov,15
49360,2020-08-31,Heavyweight,Stipe Miocic,0
49361,2020-08-31,Heavyweight,Francis Ngannou,1
49362,2020-08-31,Heavyweight,Curtis Blaydes,2
49363,2020-08-31,Heavyweight,Jairzinho Rozenstruik,3
49364,2020-08-31,Heavyweight,Derrick Lewis,4
49365,2020-08-31,Heavyweight,Alistair Overeem,5
49366,2020-08-31,Heavyweight,Junior Dos Santos,6
49367,2020-08-31,Heavyweight,Alexander Volkov,7
49368,2020-08-31,Heavyweight,Augusto Sakai,8
49369,2020-08-31,Heavyweight,Walt Harris,9
49370,2020-08-31,Heavyweight,Shamil Abdurakhimov,10
49371,2020-08-31,Heavyweight,Aleksei Oleinik,11
49372,2020-08-31,Heavyweight,Ciryl Gane,12
49373,2020-08-31,Heavyweight,Sergei Pavlovich,13
49374,2020-08-31,Heavyweight,Blagoy Ivanov,14
49375,2020-08-31,Heavyweight,Tanner Boser,15
49567,2020-09-07,Heavyweight,Stipe Miocic,0
49568,2020-09-07,Heavyweight,Francis Ngannou,1
49569,2020-09-07,Heavyweight,Curtis Blaydes,2
49570,2020-09-07,Heavyweight,Jairzinho Rozenstruik,3
49571,2020-09-07,Heavyweight,Derrick Lewis,4
49572,2020-09-07,Heavyweight,Alistair Overeem,5
49573,2020-09-07,Heavyweight,Alexander Volkov,6
49574,2020-09-07,Heavyweight,Junior Dos Santos,7
49575,2020-09-07,Heavyweight,Walt Harris,8
49576,2020-09-07,Heavyweight,Augusto Sakai,9
49577,2020-09-07,Heavyweight,Shamil Abdurakhimov,9
49578,2020-09-07,Heavyweight,Aleksei Oleinik,11
49579,2020-09-07,Heavyweight,Sergei Pavlovich,12
49580,2020-09-07,Heavyweight,Blagoy Ivanov,13
49581,2020-09-07,Heavyweight,Ciryl Gane,13
49582,2020-09-07,Heavyweight,Tanner Boser,15
49774,2020-09-15,Heavyweight,Stipe Miocic,0
49775,2020-09-15,Heavyweight,Francis Ngannou,1
49776,2020-09-15,Heavyweight,Curtis Blaydes,2
49777,2020-09-15,Heavyweight,Jairzinho Rozenstruik,3
49778,2020-09-15,Heavyweight,Derrick Lewis,4
49779,2020-09-15,Heavyweight,Alistair Overeem,5
49780,2020-09-15,Heavyweight,Alexander Volkov,6
49781,2020-09-15,Heavyweight,Junior Dos Santos,7
49782,2020-09-15,Heavyweight,Walt Harris,8
49783,2020-09-15,Heavyweight,Shamil Abdurakhimov,9
49784,2020-09-15,Heavyweight,Augusto Sakai,10
49785,2020-09-15,Heavyweight,Aleksei Oleinik,11
49786,2020-09-15,Heavyweight,Sergei Pavlovich,12
49787,2020-09-15,Heavyweight,Blagoy Ivanov,12
49788,2020-09-15,Heavyweight,Ciryl Gane,14
49789,2020-09-15,Heavyweight,Tanner Boser,15
49981,2020-09-21,Heavyweight,Stipe Miocic,0
49982,2020-09-21,Heavyweight,Francis Ngannou,1
49983,2020-09-21,Heavyweight,Curtis Blaydes,2
49984,2020-09-21,Heavyweight,Jairzinho Rozenstruik,3
49985,2020-09-21,Heavyweight,Derrick Lewis,4
49986,2020-09-21,Heavyweight,Alistair Overeem,5
49987,2020-09-21,Heavyweight,Alexander Volkov,6
49988,2020-09-21,Heavyweight,Junior Dos Santos,7
49989,2020-09-21,Heavyweight,Walt Harris,8
49990,2020-09-21,Heavyweight,Shamil Abdurakhimov,9
49991,2020-09-21,Heavyweight,Augusto Sakai,10
49992,2020-09-21,Heavyweight,Aleksei Oleinik,11
49993,2020-09-21,Heavyweight,Sergei Pavlovich,12
49994,2020-09-21,Heavyweight,Blagoy Ivanov,12
49995,2020-09-21,Heavyweight,Ciryl Gane,14
49996,2020-09-21,Heavyweight,Tanner Boser,15
50188,2020-09-28,Heavyweight,Stipe Miocic,0
50189,2020-09-28,Heavyweight,Francis Ngannou,1
50190,2020-09-28,Heavyweight,Curtis Blaydes,2
50191,2020-09-28,Heavyweight,Jairzinho Rozenstruik,3
50192,2020-09-28,Heavyweight,Derrick Lewis,4
50193,2020-09-28,Heavyweight,Alistair Overeem,5
50194,2020-09-28,Heavyweight,Alexander Volkov,6
50195,2020-09-28,Heavyweight,Junior Dos Santos,7
50196,2020-09-28,Heavyweight,Walt Harris,8
50197,2020-09-28,Heavyweight,Shamil Abdurakhimov,9
50198,2020-09-28,Heavyweight,Augusto Sakai,10
50199,2020-09-28,Heavyweight,Aleksei Oleinik,11
50200,2020-09-28,Heavyweight,Sergei Pavlovich,12
50201,2020-09-28,Heavyweight,Ciryl Gane,13
50202,2020-09-28,Heavyweight,Blagoy Ivanov,14
50203,2020-09-28,Heavyweight,Tanner Boser,15
50395,2020-10-05,Heavyweight,Stipe Miocic,0
50396,2020-10-05,Heavyweight,Francis Ngannou,1
50397,2020-10-05,Heavyweight,Curtis Blaydes,2
50398,2020-10-05,Heavyweight,Jairzinho Rozenstruik,3
50399,2020-10-05,Heavyweight,Derrick Lewis,4
50400,2020-10-05,Heavyweight,Alistair Overeem,5
50401,2020-10-05,Heavyweight,Alexander Volkov,6
50402,2020-10-05,Heavyweight,Junior Dos Santos,7
50403,2020-10-05,Heavyweight,Walt Harris,8
50404,2020-10-05,Heavyweight,Shamil Abdurakhimov,9
50405,2020-10-05,Heavyweight,Augusto Sakai,10
50406,2020-10-05,Heavyweight,Aleksei Oleinik,11
50407,2020-10-05,Heavyweight,Sergei Pavlovich,12
50408,2020-10-05,Heavyweight,Ciryl Gane,12
50409,2020-10-05,Heavyweight,Blagoy Ivanov,14
50410,2020-10-05,Heavyweight,Tanner Boser,15
50600,2020-10-12,Heavyweight,Stipe Miocic,0
50601,2020-10-12,Heavyweight,Francis Ngannou,1
50602,2020-10-12,Heavyweight,Curtis Blaydes,2
50603,2020-10-12,Heavyweight,Jairzinho Rozenstruik,3
50604,2020-10-12,Heavyweight,Derrick Lewis,4
50605,2020-10-12,Heavyweight,Alistair Overeem,5
50606,2020-10-12,Heavyweight,Alexander Volkov,6
50607,2020-10-12,Heavyweight,Junior Dos Santos,7
50608,2020-10-12,Heavyweight,Walt Harris,8
50609,2020-10-12,Heavyweight,Shamil Abdurakhimov,9
50610,2020-10-12,Heavyweight,Augusto Sakai,9
50611,2020-10-12,Heavyweight,Aleksei Oleinik,11
50612,2020-10-12,Heavyweight,Sergei Pavlovich,12
50613,2020-10-12,Heavyweight,Ciryl Gane,13
50614,2020-10-12,Heavyweight,Blagoy Ivanov,14
50615,2020-10-12,Heavyweight,Marcin Tybura,15
50806,2020-10-19,Heavyweight,Stipe Miocic,0
50807,2020-10-19,Heavyweight,Francis Ngannou,1
50808,2020-10-19,Heavyweight,Curtis Blaydes,2
50809,2020-10-19,Heavyweight,Jairzinho Rozenstruik,3
50810,2020-10-19,Heavyweight,Derrick Lewis,4
50811,2020-10-19,Heavyweight,Alistair Overeem,5
50812,2020-10-19,Heavyweight,Junior Dos Santos,6
50813,2020-10-19,Heavyweight,Alexander Volkov,7
50814,2020-10-19,Heavyweight,Augusto Sakai,8
50815,2020-10-19,Heavyweight,Shamil Abdurakhimov,9
50816,2020-10-19,Heavyweight,Walt Harris,10
50817,2020-10-19,Heavyweight,Aleksei Oleinik,11
50818,2020-10-19,Heavyweight,Sergei Pavlovich,12
50819,2020-10-19,Heavyweight,Ciryl Gane,13
50820,2020-10-19,Heavyweight,Blagoy Ivanov,14
50821,2020-10-19,Heavyweight,Marcin Tybura,15
51013,2020-10-26,Heavyweight,Stipe Miocic,0
51014,2020-10-26,Heavyweight,Francis Ngannou,1
51015,2020-10-26,Heavyweight,Curtis Blaydes,2
51016,2020-10-26,Heavyweight,Jairzinho Rozenstruik,3
51017,2020-10-26,Heavyweight,Derrick Lewis,4
51018,2020-10-26,Heavyweight,Alistair Overeem,5
51019,2020-10-26,Heavyweight,Alexander Volkov,6
51020,2020-10-26,Heavyweight,Junior Dos Santos,7
51021,2020-10-26,Heavyweight,Shamil Abdurakhimov,8
51022,2020-10-26,Heavyweight,Augusto Sakai,8
51023,2020-10-26,Heavyweight,Aleksei Oleinik,10
51024,2020-10-26,Heavyweight,Walt Harris,11
51025,2020-10-26,Heavyweight,Sergei Pavlovich,12
51026,2020-10-26,Heavyweight,Ciryl Gane,13
51027,2020-10-26,Heavyweight,Blagoy Ivanov,14
51028,2020-10-26,Heavyweight,Marcin Tybura,15
51220,2020-11-02,Heavyweight,Stipe Miocic,0
51221,2020-11-02,Heavyweight,Francis Ngannou,1
51222,2020-11-02,Heavyweight,Curtis Blaydes,2
51223,2020-11-02,Heavyweight,Jairzinho Rozenstruik,3
51224,2020-11-02,Heavyweight,Derrick Lewis,4
51225,2020-11-02,Heavyweight,Alistair Overeem,5
51226,2020-11-02,Heavyweight,Alexander Volkov,6
51227,2020-11-02,Heavyweight,Junior Dos Santos,7
51228,2020-11-02,Heavyweight,Shamil Abdurakhimov,8
51229,2020-11-02,Heavyweight,Augusto Sakai,9
51230,2020-11-02,Heavyweight,Aleksei Oleinik,10
51231,2020-11-02,Heavyweight,Walt Harris,11
51232,2020-11-02,Heavyweight,Sergei Pavlovich,12
51233,2020-11-02,Heavyweight,Ciryl Gane,13
51234,2020-11-02,Heavyweight,Blagoy Ivanov,14
51235,2020-11-02,Heavyweight,Marcin Tybura,15
51425,2020-11-09,Heavyweight,Stipe Miocic,0
51426,2020-11-09,Heavyweight,Francis Ngannou,1
51427,2020-11-09,Heavyweight,Curtis Blaydes,2
51428,2020-11-09,Heavyweight,Jairzinho Rozenstruik,3
51429,2020-11-09,Heavyweight,Derrick Lewis,4
51430,2020-11-09,Heavyweight,Alistair Overeem,5
51431,2020-11-09,Heavyweight,Alexander Volkov,6
51432,2020-11-09,Heavyweight,Junior Dos Santos,7
51433,2020-11-09,Heavyweight,Shamil Abdurakhimov,8
51434,2020-11-09,Heavyweight,Augusto Sakai,9
51435,2020-11-09,Heavyweight,Aleksei Oleinik,10
51436,2020-11-09,Heavyweight,Walt Harris,11
51437,2020-11-09,Heavyweight,Sergei Pavlovich,12
51438,2020-11-09,Heavyweight,Blagoy Ivanov,13
51439,2020-11-09,Heavyweight,Ciryl Gane,13
51629,2020-11-16,Heavyweight,Stipe Miocic,0
51630,2020-11-16,Heavyweight,Francis Ngannou,1
51631,2020-11-16,Heavyweight,Curtis Blaydes,2
51632,2020-11-16,Heavyweight,Jairzinho Rozenstruik,3
51633,2020-11-16,Heavyweight,Derrick Lewis,4
51634,2020-11-16,Heavyweight,Alistair Overeem,5
51635,2020-11-16,Heavyweight,Alexander Volkov,6
51636,2020-11-16,Heavyweight,Junior Dos Santos,7
51637,2020-11-16,Heavyweight,Shamil Abdurakhimov,8
51638,2020-11-16,Heavyweight,Augusto Sakai,9
51639,2020-11-16,Heavyweight,Aleksei Oleinik,10
51640,2020-11-16,Heavyweight,Walt Harris,11
51641,2020-11-16,Heavyweight,Sergei Pavlovich,12
51642,2020-11-16,Heavyweight,Blagoy Ivanov,13
51643,2020-11-16,Heavyweight,Ciryl Gane,13
51644,2020-11-16,Heavyweight,Andrei Arlovski,15
51836,2020-11-23,Heavyweight,Stipe Miocic,0
51837,2020-11-23,Heavyweight,Francis Ngannou,1
51838,2020-11-23,Heavyweight,Curtis Blaydes,2
51839,2020-11-23,Heavyweight,Jairzinho Rozenstruik,3
51840,2020-11-23,Heavyweight,Derrick Lewis,4
51841,2020-11-23,Heavyweight,Alistair Overeem,5
51842,2020-11-23,Heavyweight,Alexander Volkov,6
51843,2020-11-23,Heavyweight,Junior Dos Santos,7
51844,2020-11-23,Heavyweight,Shamil Abdurakhimov,8
51845,2020-11-23,Heavyweight,Augusto Sakai,9
51846,2020-11-23,Heavyweight,Aleksei Oleinik,10
51847,2020-11-23,Heavyweight,Walt Harris,11
51848,2020-11-23,Heavyweight,Sergei Pavlovich,12
51849,2020-11-23,Heavyweight,Blagoy Ivanov,13
51850,2020-11-23,Heavyweight,Ciryl Gane,14
51851,2020-11-23,Heavyweight,Andrei Arlovski,15
52043,2020-11-30,Heavyweight,Stipe Miocic,0
52044,2020-11-30,Heavyweight,Francis Ngannou,1
52045,2020-11-30,Heavyweight,Curtis Blaydes,2
52046,2020-11-30,Heavyweight,Jairzinho Rozenstruik,3
52047,2020-11-30,Heavyweight,Derrick Lewis,4
52048,2020-11-30,Heavyweight,Alistair Overeem,5
52049,2020-11-30,Heavyweight,Alexander Volkov,6
52050,2020-11-30,Heavyweight,Junior Dos Santos,7
52051,2020-11-30,Heavyweight,Shamil Abdurakhimov,8
52052,2020-11-30,Heavyweight,Augusto Sakai,9
52053,2020-11-30,Heavyweight,Aleksei Oleinik,10
52054,2020-11-30,Heavyweight,Walt Harris,11
52055,2020-11-30,Heavyweight,Sergei Pavlovich,12
52056,2020-11-30,Heavyweight,Blagoy Ivanov,13
52057,2020-11-30,Heavyweight,Ciryl Gane,14
52058,2020-11-30,Heavyweight,Andrei Arlovski,15
52250,2020-12-07,Heavyweight,Stipe Miocic,0
52251,2020-12-07,Heavyweight,Francis Ngannou,1
52252,2020-12-07,Heavyweight,Curtis Blaydes,2
52253,2020-12-07,Heavyweight,Jairzinho Rozenstruik,3
52254,2020-12-07,Heavyweight,Derrick Lewis,4
52255,2020-12-07,Heavyweight,Alistair Overeem,5
52256,2020-12-07,Heavyweight,Alexander Volkov,6
52257,2020-12-07,Heavyweight,Junior Dos Santos,7
52258,2020-12-07,Heavyweight,Shamil Abdurakhimov,8
52259,2020-12-07,Heavyweight,Augusto Sakai,9
52260,2020-12-07,Heavyweight,Aleksei Oleinik,10
52261,2020-12-07,Heavyweight,Walt Harris,11
52262,2020-12-07,Heavyweight,Sergei Pavlovich,12
52263,2020-12-07,Heavyweight,Blagoy Ivanov,13
52264,2020-12-07,Heavyweight,Ciryl Gane,14
52265,2020-12-07,Heavyweight,Andrei Arlovski,15
52457,2020-12-14,Heavyweight,Stipe Miocic,0
52458,2020-12-14,Heavyweight,Francis Ngannou,1
52459,2020-12-14,Heavyweight,Curtis Blaydes,2
52460,2020-12-14,Heavyweight,Jairzinho Rozenstruik,3
52461,2020-12-14,Heavyweight,Derrick Lewis,4
52462,2020-12-14,Heavyweight,Alistair Overeem,5
52463,2020-12-14,Heavyweight,Alexander Volkov,6
52464,2020-12-14,Heavyweight,Ciryl Gane,7
52465,2020-12-14,Heavyweight,Shamil Abdurakhimov,8
52466,2020-12-14,Heavyweight,Augusto Sakai,9
52467,2020-12-14,Heavyweight,Junior Dos Santos,10
52468,2020-12-14,Heavyweight,Aleksei Oleinik,11
52469,2020-12-14,Heavyweight,Walt Harris,12
52470,2020-12-14,Heavyweight,Sergei Pavlovich,13
52471,2020-12-14,Heavyweight,Blagoy Ivanov,14
52472,2020-12-14,Heavyweight,Andrei Arlovski,15
52664,2020-12-21,Heavyweight,Stipe Miocic,0
52665,2020-12-21,Heavyweight,Francis Ngannou,1
52666,2020-12-21,Heavyweight,Curtis Blaydes,2
52667,2020-12-21,Heavyweight,Jairzinho Rozenstruik,3
52668,2020-12-21,Heavyweight,Derrick Lewis,4
52669,2020-12-21,Heavyweight,Alistair Overeem,5
52670,2020-12-21,Heavyweight,Alexander Volkov,6
52671,2020-12-21,Heavyweight,Ciryl Gane,7
52672,2020-12-21,Heavyweight,Shamil Abdurakhimov,8
52673,2020-12-21,Heavyweight,Augusto Sakai,9
52674,2020-12-21,Heavyweight,Aleksei Oleinik,10
52675,2020-12-21,Heavyweight,Junior Dos Santos,11
52676,2020-12-21,Heavyweight,Walt Harris,12
52677,2020-12-21,Heavyweight,Blagoy Ivanov,13
52678,2020-12-21,Heavyweight,Sergei Pavlovich,14
52679,2020-12-21,Heavyweight,Marcin Tybura,15
52871,2021-01-18,Heavyweight,Stipe Miocic,0
52872,2021-01-18,Heavyweight,Francis Ngannou,1
52873,2021-01-18,Heavyweight,Curtis Blaydes,2
52874,2021-01-18,Heavyweight,Jairzinho Rozenstruik,3
52875,2021-01-18,Heavyweight,Derrick Lewis,4
52876,2021-01-18,Heavyweight,Alistair Overeem,5
52877,2021-01-18,Heavyweight,Alexander Volkov,6
52878,2021-01-18,Heavyweight,Ciryl Gane,7
52879,2021-01-18,Heavyweight,Shamil Abdurakhimov,8
52880,2021-01-18,Heavyweight,Augusto Sakai,9
52881,2021-01-18,Heavyweight,Aleksei Oleinik,10
52882,2021-01-18,Heavyweight,Junior Dos Santos,11
52883,2021-01-18,Heavyweight,Walt Harris,11
52884,2021-01-18,Heavyweight,Blagoy Ivanov,13
52885,2021-01-18,Heavyweight,Sergei Pavlovich,14
52886,2021-01-18,Heavyweight,Marcin Tybura,14
53078,2021-01-25,Heavyweight,Stipe Miocic,0
53079,2021-01-25,Heavyweight,Francis Ngannou,1
53080,2021-01-25,Heavyweight,Curtis Blaydes,2
53081,2021-01-25,Heavyweight,Jairzinho Rozenstruik,3
53082,2021-01-25,Heavyweight,Derrick Lewis,4
53083,2021-01-25,Heavyweight,Alistair Overeem,5
53084,2021-01-25,Heavyweight,Alexander Volkov,6
53085,2021-01-25,Heavyweight,Ciryl Gane,7
53086,2021-01-25,Heavyweight,Shamil Abdurakhimov,8
53087,2021-01-25,Heavyweight,Augusto Sakai,9
53088,2021-01-25,Heavyweight,Aleksei Oleinik,10
53089,2021-01-25,Heavyweight,Walt Harris,11
53090,2021-01-25,Heavyweight,Junior Dos Santos,11
53091,2021-01-25,Heavyweight,Blagoy Ivanov,13
53092,2021-01-25,Heavyweight,Sergei Pavlovich,14
53093,2021-01-25,Heavyweight,Marcin Tybura,15
53285,2021-02-08,Heavyweight,Stipe Miocic,0
53286,2021-02-08,Heavyweight,Francis Ngannou,1
53287,2021-02-08,Heavyweight,Curtis Blaydes,2
53288,2021-02-08,Heavyweight,Jairzinho Rozenstruik,3
53289,2021-02-08,Heavyweight,Derrick Lewis,4
53290,2021-02-08,Heavyweight,Alexander Volkov,5
53291,2021-02-08,Heavyweight,Alistair Overeem,6
53292,2021-02-08,Heavyweight,Ciryl Gane,7
53293,2021-02-08,Heavyweight,Shamil Abdurakhimov,8
53294,2021-02-08,Heavyweight,Augusto Sakai,9
53295,2021-02-08,Heavyweight,Aleksei Oleinik,10
53296,2021-02-08,Heavyweight,Walt Harris,11
53297,2021-02-08,Heavyweight,Junior Dos Santos,12
53298,2021-02-08,Heavyweight,Blagoy Ivanov,13
53299,2021-02-08,Heavyweight,Sergei Pavlovich,14
53300,2021-02-08,Heavyweight,Marcin Tybura,15
53492,2021-02-15,Heavyweight,Stipe Miocic,0
53493,2021-02-15,Heavyweight,Francis Ngannou,1
53494,2021-02-15,Heavyweight,Curtis Blaydes,2
53495,2021-02-15,Heavyweight,Jairzinho Rozenstruik,3
53496,2021-02-15,Heavyweight,Derrick Lewis,4
53497,2021-02-15,Heavyweight,Alexander Volkov,5
53498,2021-02-15,Heavyweight,Alistair Overeem,6
53499,2021-02-15,Heavyweight,Ciryl Gane,7
53500,2021-02-15,Heavyweight,Shamil Abdurakhimov,8
53501,2021-02-15,Heavyweight,Augusto Sakai,9
53502,2021-02-15,Heavyweight,Aleksei Oleinik,10
53503,2021-02-15,Heavyweight,Walt Harris,11
